pop,A,year,S_obs,n_age3_obs,n_age4_obs,n_age5_obs,n_H_obs,n_W_obs,fit_p_HOS,B_take_obs,F_rate,watershed,SST_spr_mean,upwell_spr,hatch_release,Spartina_acre,OGSI_mean,OGSI_mean_sbuff50,OGSI_mean_sbuff100,OGSI_mean_sbuff250
3,1.1,2007,1406,5,29,3,0,0,FALSE,0,0.015621463,LowerSalmon,10.221741517384848,0.32222222222222224,526900,250,15.615295627116504,22.220499187712303,19.427312094030313,16.60473525014776
3,1.1,2008,1203,7,29,2,0,0,FALSE,0,0.267934113,LowerSalmon,10.98063826560974,0.2563333333333333,78050,85,13.41976349571046,20.67582742316785,17.696812625715612,14.68037467790236
3,1.1,2009,1264,21,12,3,0,0,FALSE,0,0.269490942,LowerSalmon,11.654947996139526,0.102,385872,18,13.392666189533951,20.895172006496384,17.881252415925783,14.818861234705228
3,1.1,2010,4390,8,28,1,0,0,FALSE,0,0.056065316,LowerSalmon,11.322720050811768,0.13166666666666663,593814,2.5,13.99183278253731,21.56331168831169,18.514259216322746,15.438386155129274
3,1.1,2011,13180,1,36,1,0,0,FALSE,0,0.041990201,LowerSalmon,11.342132806777954,0.04644444444444444,600200,1.6,14.737461261147304,22.174047829937997,19.108946106858426,16.140427751695356
3,1.1,2012,4136,5,16,16,0,0,FALSE,0,0.381457661,LowerSalmon,11.63262708981832,0.1468888888888889,912572,1.02,15.356544205684038,22.967394511655357,19.921324891908583,16.84184965483748
3,1.1,2013,6197,10,16,3,0,0,FALSE,0,0.096338905,LowerSalmon,12.14900255203247,0.19644444444444445,769959,0.9,15.6728162887941,23.527519551423932,20.287325249092454,17.160740329189526
3,1.1,2014,7357,6,65,3,0,0,FALSE,0,0.124512848,LowerSalmon,12.71275313695272,0.405,1006576,1.1,16.253690965523028,24.238713484803775,20.91387559808613,17.75817356030926
3,1.1,2015,7075,31,163,15,0,0,FALSE,0,0.067981329,LowerSalmon,13.096447706222534,0.28522222222222227,1704376,0.4,17.382362805517126,24.987154879669276,21.86152301513747,18.77429195410268
3,1.1,2016,7126,5,85,20,0,0,FALSE,0,0.06631364,LowerSalmon,12.117044766743978,0.09422222222222222,1521504,0.31,17.96012996541243,25.816531365313654,22.58518690145196,19.39008321775312
3,1.1,2017,1911,10,12,15,0,0,FALSE,0,0.022670697,LowerSalmon,12.320975065231323,0.15333333333333332,2434710,0.6243,17.939341203111567,26.100059031877215,22.536946953903172,19.235516416461532
3,1.1,2018,4709,111,58,3,0,0,FALSE,0,0.061880404,LowerSalmon,11.914112567901611,0.31766666666666665,2335307,0.6983,18.05702728758855,26.254794924756567,22.62098517603459,19.285739046034383
3,1.1,2019,5462,56,177,2,0,0,FALSE,0,0.007944592,LowerSalmon,12.042041381200155,0.18888888888888888,2629955,0.1926,18.21663033453509,26.350988492180583,22.749189189189188,19.436715444899093
3,1.1,2020,6450,37,26,2,0,0,FALSE,0,0.065456859,LowerSalmon,11.503767808278402,0.274,2503780,0.1392,18.493724726046057,26.349218058424313,22.726079233917677,19.542851199556235
3,1.1,2021,8987,59,62,4,0,0,FALSE,0,0.134924262,LowerSalmon,11.092008511225382,0.01044444444444445,2599462,0.0183,18.80522963459605,26.17411834144902,22.6574252838057,19.69976080701633
3,1.1,2022,4383,22,116,13,0,0,FALSE,0,0.180274761,LowerSalmon,11.47278904914856,0.23922222222222225,2928658,0.0183,18.80522963459605,26.17411834144902,22.6574252838057,19.69976080701633
